,pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_gravitye,pl_gravity,pl_insol,pl_eqt,st_spectype,st_teff,glat,glon,sy_dist,xVal,yVal
343,CoRoTID 223977153 b,CoRoTID 223977153,2017,Transit,6.71837,0.071,6.389,47.6745,1.1679395646978057,11.4695,132.26,938.0,G0 VI,5970.0,1.86373,203.48237,1880.8883837082471,749.0752380836221,-1724.205755536837
472,EPIC 246851721 b,EPIC 246851721,2018,Transit,6.180235,0.07229,11.781,953.49,6.869922386931329,67.4647,642.0,1401.0,F5 V,6202.0,-12.64088,186.97531,1215.3630334134552,144.01806821010004,-1177.126314861733
474,EPIC 249893012 b,EPIC 249893012,2020,Transit,3.5951,0.047,1.95,8.75,2.3011176857330704,22.5977,1037.0,1616.0,G8 IV/V,5430.0,34.30816,345.11043,1047.9273953487877,222.42364696419227,836.5423269312612
475,EPIC 249893012 c,EPIC 249893012,2020,Transit,15.624,0.13,3.67,14.67,1.0891758050026357,10.696,160.0,990.0,G8 IV/V,5430.0,34.30816,345.11043,1047.9273953487877,222.42364696419227,836.5423269312612
476,EPIC 249893012 d,EPIC 249893012,2020,Transit,35.747,0.22,3.94,10.18,0.6557757221263109,6.4399,53.0,752.0,G8 IV/V,5430.0,34.30816,345.11043,1047.9273953487877,222.42364696419227,836.5423269312612
481,G 9-40 b,G 9-40,2019,Transit,5.746007,0.0385,2.025,11.7,2.8532235939643344,28.0195,7.2,456.0,M2.5 V,3348.0,37.03563,206.06509,91.08764854322123,31.948945907206095,-65.31661479298492
506,GJ 1214 b,GJ 1214,2009,Transit,1.58040433,0.0149,2.742,8.17,1.0866436729141362,10.6712,21.0,596.0,M4 V,3250.0,23.60704,26.16217,47.75809991992958,-19.294981793083103,39.2780245317194
600,GJ 357 b,GJ 357,2019,Transit,3.93072,0.035,1.217,1.84,1.242329124043187,12.2,12.6,525.0,M2.5 V,3505.0,22.08045,253.88843,30.795065486897247,27.415638692908576,-7.919115235785499
604,GJ 367 b,GJ 367,2021,Transit,0.3219225,0.00709,0.699,0.633,1.295535621089601,12.7225,579.0,1365.0,M1.0 V,3522.0,5.6589,272.24323,30.699893055879503,30.526867287251576,1.1957913131689784
612,GJ 3929 b,GJ 3929,2022,Transit,2.6162745,0.02569,1.15,1.21,0.9149338374291116,8.9849,17.5,569.0,M3.5 V,3369.0,49.59735,56.66419,51.563692535128546,-27.922271053781387,18.36649570470753
661,GJ 486 b,GJ 486,2021,Radial Velocity,1.467119,0.01734,1.305,2.82,1.655877042321751,16.2612,40.3,701.0,M3.5 V,3340.0,72.60142,300.0371,26.334713943431925,6.816992938089055,3.9416804029140975
778,GJ 9827 b,GJ 9827,2017,Transit,1.208966,0.0206,1.58,3.69,1.478128505047268,14.5157,256.0,1114.0,K6 V,4219.0,-57.18299,81.34803,96.74124319456325,-51.833033137552675,7.8871062248890205
780,GJ 9827 b,GJ 9827,2017,Transit,1.2089802,0.01888,1.62,3.42,1.3031550068587103,12.7974,315.0,1172.0,K5 V,4269.0,-57.18299,81.34803,96.74124319456325,-51.833033137552675,7.8871062248890205
781,GJ 9827 c,GJ 9827,2017,Transit,3.64823,0.0429,1.24,1.45,0.9430280957336108,9.2608,59.0,771.0,K6 V,4219.0,-57.18299,81.34803,96.74124319456325,-51.833033137552675,7.8871062248890205
785,GJ 9827 c,GJ 9827,2017,Transit,3.648083,0.03942,1.269,2.42,1.502768633865326,14.7576,72.0,811.0,K5 V,4269.0,-57.18299,81.34803,96.74124319456325,-51.833033137552675,7.8871062248890205
787,GJ 9827 d,GJ 9827,2017,Transit,6.201467,0.05615,2.07,5.2,1.213563910476324,11.9176,35.6,680.0,K5 V,4269.0,-57.18299,81.34803,96.74124319456325,-51.833033137552675,7.8871062248890205
789,GJ 9827 d,GJ 9827,2017,Transit,6.20142,0.0611,2.04,2.35,0.5646866589773164,5.5454,29.0,646.0,K6 V,4219.0,-57.18299,81.34803,96.74124319456325,-51.833033137552675,7.8871062248890205
792,GPX-1 b,GPX-1,2021,Transit,1.744579,0.0338,16.477,6261.21962,23.06230195491661,226.4787,4650.0,2300.0,F2,7000.0,-4.05517,136.89331,2136.366674373772,-1456.2504559156173,-1555.8190085885292
1255,HAT-P-68 b,HAT-P-68,2020,Transit,2.29840551,0.02996,12.016,230.10892,1.5937258422414147,15.6509,184.8,1028.0,K,4508.0,23.83401,197.14414,659.3316406819511,177.7808743507001,-576.3056262357816
1337,HATS-17 b,HATS-17,2016,Transit,16.254611,0.1308,8.709,425.25654,5.606791680179124,55.0604,72.7,814.0,G V,5846.0,15.25563,302.46383,1305.705088477216,1062.8421774180742,676.1622517004546
1341,HATS-18 b,HATS-18,2016,Transit,0.8378434,0.01761,14.986,629.3034,2.8021322058156897,27.5178,2990.0,2060.0,G V,5600.0,30.87451,283.68658,2036.4160524224765,1698.2114899117412,413.55796372720226
1415,HATS-36 b,HATS-36,2018,Transit,4.1752387,0.05425,13.843,1022.14128,5.3339690350788835,52.3812,561.0,1356.0,G0 V,6149.0,-17.59239,15.35677,2793.3206350621685,-705.1537066291626,2567.6096682958228
1723,HD 110113 b,HD 110113,2021,Transit,2.541,0.035,2.05,4.55,1.0826888756692445,10.6323,735.49,1371.0,G,5732.0,18.51297,300.80214,346.72706045933836,282.40646379532865,168.36233614040682
2397,HD 191939 b,HD 191939,2020,Transit,8.8803256,0.0804,3.41,10.0,0.8599857242369775,8.4453,100.0,880.0,G9 V,5348.0,17.72195,99.98716,174.84884637379125,-164.02757065243998,-28.884586289345197
2400,HD 191939 c,HD 191939,2020,Transit,28.579743,0.1752,3.195,8.0,0.7836971402401542,7.6961,21.0,600.0,G9 V,5348.0,17.72195,99.98716,174.84884637379125,-164.02757065243998,-28.884586289345197
